source,target,regex,code
"/index.php","/",0,301
"/about_the_firm.php","/about-the-firm/",0,301
"/about_the_firm.php#attorneys","/attorneys/",0,301
"/latest_legal_news.php","/latest-legal-news/",0,301
"/legal_resources.php","/resources/",0,301
"/contact_us.php","/contact-us/",0,301
"/free_legal_consultation.php","/free-consultation/",0,301
"/site_map.php","/site-map/",0,301
"/privacy_policy.php","/privacy-policy/",0,301
"/clients/","/login/",0,301
"/clients/index.php","/login/",0,301
"/civil_defense_litigation.php","/practice-areas/civil-defense-litigation/",0,301
"/consumer_protection.php","/practice-areas/consumer-protection/",0,301
"/bankruptcy_law.php","/practice-areas/bankruptcy-law/",0,301
"/contract_law.php","/practice-areas/contract-law/",0,301
"/family_law.php","/practice-areas/family-law/",0,301
"/real_estate_law.php","/practice-areas/real-estate-law/",0,301
"/landlord_tenant_issues.php","/practice-areas/landlord-tenant-issues/",0,301
"/intellectual_property.php","/practice-areas/intellectual-property/",0,301
"/traffic_tickets.php","/practice-areas/traffic-tickets/",0,301
"/spanish/index.php","/es/",0,301
"/spanish/sobre_la_firma.php","/es/about-the-firm/",0,301
"/spanish/noticias_legales.php","/es/latest-legal-news/",0,301
"/spanish/recursos_legales.php","/es/resources/",0,301
"/spanish/contactanos.php","/es/contact-us/",0,301
"/spanish/consulta_gratuita.php","/es/free-consultation/",0,301
"/spanish/","/es/",0,301
